#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Oct 26 12:41:59 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       mux_map.ncd
#OUTPUT FILE:      mux_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          ftg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P15,,IOB33M,IO_L8P_T1_D11_14,UNUSED,,14,,,,,,,,,
P16,,IOB33S,IO_L8N_T1_D12_14,UNUSED,,14,,,,,,,,,
R1,,IOB33S,IO_L7N_T1_34,UNUSED,,34,,,,,,,,,
R2,,IOB33M,IO_L7P_T1_34,UNUSED,,34,,,,,,,,,
R3,,IOB33M,IO_L8P_T1_34,UNUSED,,34,,,,,,,,,
R4,,,VCCO_34,,,34,,,,,any******,,,,
R5,,IOB33M,IO_L23P_T3_A03_D19_14,UNUSED,,14,,,,,,,,,
R6,,IOB33M,IO_L24P_T3_A01_D17_14,UNUSED,,14,,,,,,,,,
R7,,IOB33S,IO_L24N_T3_A00_D16_14,UNUSED,,14,,,,,,,,,
R8,,IOB33S,IO_L20N_T3_A07_D23_14,UNUSED,,14,,,,,,,,,
R9,,,GND,,,,,,,,,,,,
R10,,IOB33M,IO_L17P_T2_A14_D30_14,UNUSED,,14,,,,,,,,,
R11,,IOB33S,IO_L17N_T2_A13_D29_14,UNUSED,,14,,,,,,,,,
R12,,IOB33M,IO_L15P_T2_DQS_RDWR_B_14,UNUSED,,14,,,,,,,,,
R13,,IOB33M,IO_L16P_T2_CSI_B_14,UNUSED,,14,,,,,,,,,
R14,,,VCCO_14,,,14,,,,,any******,,,,
R15,,IOB33M,IO_L9P_T1_DQS_14,UNUSED,,14,,,,,,,,,
R16,,IOB33S,IO_L9N_T1_DQS_D13_14,UNUSED,,14,,,,,,,,,
T1,,,VCCO_34,,,34,,,,,any******,,,,
T2,,IOB33S,IO_L8N_T1_34,UNUSED,,34,,,,,,,,,
T3,,IOB33S,IO_L9N_T1_DQS_34,UNUSED,,34,,,,,,,,,
T4,,IOB33M,IO_L9P_T1_DQS_34,UNUSED,,34,,,,,,,,,
T5,,IOB33S,IO_L23N_T3_A02_D18_14,UNUSED,,14,,,,,,,,,
T6,,,GND,,,,,,,,,,,,
T7,,IOB33M,IO_L21P_T3_DQS_14,UNUSED,,14,,,,,,,,,
T8,,IOB33S,IO_L21N_T3_DQS_A06_D22_14,UNUSED,,14,,,,,,,,,
T9,,IOB33M,IO_L22P_T3_A05_D21_14,UNUSED,,14,,,,,,,,,
T10,,IOB33S,IO_L22N_T3_A04_D20_14,UNUSED,,14,,,,,,,,,
T11,,,VCCO_14,,,14,,,,,any******,,,,
T12,,IOB33S,IO_L15N_T2_DQS_DOUT_CSO_B_14,UNUSED,,14,,,,,,,,,
T13,,IOB33S,IO_L16N_T2_A15_D31_14,UNUSED,,14,,,,,,,,,
T14,,IOB33M,IO_L10P_T1_D14_14,UNUSED,,14,,,,,,,,,
T15,,IOB33S,IO_L10N_T1_D15_14,UNUSED,,14,,,,,,,,,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
